,borough,contributing_factor_vehicle_1,contributing_factor_vehicle_2,cross_street_name,date,latitude,longitude,number_of_cyclist_injured,number_of_cyclist_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,off_street_name,on_street_name,time,unique_key,vehicle_type_code1,vehicle_type_code2
12463,BROOKLYN,Passenger Distraction,Unspecified,,2015-12-12,40.6898636,-73.9795113,1,0,0,0,ROCKWELL PLACE                  ,DEKALB AVENUE                   ,23.916666666666668,3352204,SPORT UTILITY / STATION WAGON,BICYCLE
12464,BROOKLYN,Outside Car Distraction,Passenger Distraction,,2015-12-13,40.724098600000005,-73.95097779999999,1,0,0,0,BEDFORD AVENUE                  ,MANHATTAN AVENUE                ,11.333333333333334,3352218,PASSENGER VEHICLE,BICYCLE
12465,QUEENS,Driver Inattention/Distraction,Unspecified,,2015-12-12,40.6935895,-73.8001891,1,0,0,0,SUTPHIN BOULEVARD               ,LAKEWOOD AVENUE                 ,15.333333333333334,3352234,PASSENGER VEHICLE,BICYCLE
12466,QUEENS,Failure to Yield Right-of-Way,,,2015-12-12,40.7168018,-73.80809909999999,1,0,0,0,82 DRIVE                        ,PARSONS BOULEVARD               ,20.5,3352310,PASSENGER VEHICLE,
12467,QUEENS,Driver Inattention/Distraction,Passenger Distraction,,2015-12-13,40.75443,-73.91607420000001,1,0,0,0,34 AVENUE                       ,46 STREET                       ,11.75,3352429,PASSENGER VEHICLE,BICYCLE
12468,MANHATTAN,Passenger Distraction,Unspecified,,2015-12-14,40.7401843,-73.986363,1,0,0,0,PARK AVENUE SOUTH               ,EAST 23 STREET                  ,20.083333333333332,3352496,TAXI,BICYCLE
12469,MANHATTAN,Physical Disability,Unspecified,,2015-12-14,40.7313511,-73.9825546,1,0,0,0,1 AVENUE                        ,EAST 14 STREET                  ,22.5,3352497,TAXI,BICYCLE
12470,MANHATTAN,Unspecified,Unspecified,,2015-12-11,40.7484685,-73.99246059999999,1,0,0,0,7 AVENUE                        ,WEST 30 STREET                  ,14.666666666666666,3352502,SPORT UTILITY / STATION WAGON,BICYCLE
12471,MANHATTAN,Other Vehicular,Fatigued/Drowsy,,2015-12-14,40.7450578,-73.9786065,1,0,0,0,3 AVENUE                        ,EAST 33 STREET                  ,12.25,3352528,SPORT UTILITY / STATION WAGON,BICYCLE
12472,MANHATTAN,Lost Consciousness,Unspecified,,2015-12-13,40.764731899999994,-73.9663588,1,0,0,0,EAST 63 STREET                  ,LEXINGTON AVENUE                ,17.0,3352545,TAXI,BICYCLE
